userId,movieId,rating,timestamp
1,1,4.5,1112486027
1,2,4.0,1112484676
1,3,3.5,1112484819
1,4,4.0,1112484727
1,5,4.5,1112484580
1,6,5.0,1112484600
2,1,4.0,1112484620
2,2,3.5,1112484660
2,3,4.5,1112484700
2,4,4.0,1112484740
2,5,3.0,1112484780
2,6,4.5,1112484820
2,7,4.0,1112484860
3,1,3.5,1112484900
3,2,4.5,1112484940
3,3,4.0,1112484980
3,4,5.0,1112485020
3,5,4.0,1112485060
3,7,4.5,1112485100
3,8,4.0,1112485140
4,1,4.5,1112485180
4,2,4.0,1112485220
4,4,4.5,1112485260
4,5,5.0,1112485300
4,6,4.0,1112485340
4,7,3.5,1112485380
4,8,4.5,1112485420
5,2,4.0,1112485460
5,3,4.5,1112485500
5,4,4.0,1112485540
5,5,4.5,1112485580
5,6,4.0,1112485620
5,7,5.0,1112485660
5,8,4.5,1112485700
